Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,MD,02 - Automobile,2015.0,BMW,750LI,BLUE DARK,218011,No,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2014.0,HYUN,2S,WHITE,21201a1,No,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,4S,TAN,218011,No,OTHER,F,GERMANTOWN,MD,MD,Q - Marked Laser,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,CIVIC,SILVER,13409b,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,No,No,No,No,No,MD,02 - Automobile,2012.0,HONDA,ACCORD,GRAY,218011,No,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,VA,02 - Automobile,2013.0,NISSAN,FRONTIER TK,WHITE,13411f,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,VA,02 - Automobile,2016.0,VOLK,JETTA,GRAY,218011,No,WHITE,M,ASHBURN,VA,VA,Q - Marked Laser,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYT,4H,BLACK,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2012.0,CHEV,IMPALA,WHITE,224123b,No,BLACK,M,FREDERICK,MD,MD,O - Foot Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1997.0,MERC,GRAND MARQ,BLUE,21201a1,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2005.0,KIA,SPECTRA,RED,13401b1,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HWY TO HAVE LICWITH HIM,No,No,No,No,No,MD,02 - Automobile,1991.0,HONDA,ACCORD,SILVER,16112b,No,HISPANIC,F,GAITHERSBURG,MD,MD,B - Unmarked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2000.0,HOND,4S,BLACK,13401h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,CA,02 - Automobile,1992.0,HONDA,ACCORD,WHITE,222011,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,Warning
STOPPING VEH ON CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,PILOT,GRAY,211003e,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEVY,HHR,BLUE DARK,218011,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY EMERGENCY VEH,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,HONDA,RIDGELINE,BLACK,21405b,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUN,ELANTRA,SILVER,21202h1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2014.0,RAM,TK,WHITE,218011,No,WHITE,M,PURCELLVILLE,VA,VA,Q - Marked Laser,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,ACCORD,SILVER,222011,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2016.0,DODGE,JOURNEY,SILVER,13409b,No,BLACK,M,NEW CARROLLTON,MD,DC,A - Marked Patrol,Warning
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2004.0,HOND,CRV,SILVER,224123b,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,OH,02 - Automobile,2001.0,TOYOTA,HIGHLANER,GREEN DK,22226a,No,HISPANIC,F,CALVERTON,MD,MD,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2006.0,DODG,4S,RED,16112c,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
CAUSING STANDING VEH TO OBSTRUCT FREE VEH PASSAGE OF ROADWAY,No,No,No,No,No,MD,02 - Automobile,2008.0,HOND,VN,BLUE,211001b,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,ESCAPE,BLUE,13411a,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,VA,02 - Automobile,2004.0,VOLKSWAGEN,PHAETON,BLUE,21204d,No,BLACK,M,GLENARDEN,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,4S,BLACK,21309d,No,HISPANIC,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Warning
PARKING VEH WHERE PROHIBITED BY OFFICIAL SIGN,No,No,No,No,No,MD,05 - Light Duty Truck,2000.0,FORD,F150,BLACK,211003j,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,ODYSSEY,SILVER,21202h1,No,WHITE,F,POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,No,No,No,No,No,MD,02 - Automobile,2004.0,LEXUS,4D,BEIGE,13409a,No,ASIAN,F,POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2009.0,VOLK,4S,SILVER,16112c,No,OTHER,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,MD,02 - Automobile,2013.0,CHEV,TK,BLACK,13411c1,No,HISPANIC,M,SANDY SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE ANY OTHER TURN,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,CAMRY,BLACK,21202j,No,ASIAN,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1997.0,DODG,4S,SILVER,21201a1,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,DC,02 - Automobile,2001.0,OLDS,INTRIGUE,BLACK,21201a1,No,WHITE,F,TAKOMA PARK,MD,MD,A - Marked Patrol,Warning
DRIVING VEH ON HWY WITH UNPAID REGISTRATION FEE,No,No,No,No,No,MD,02 - Automobile,2011.0,BMW,328I,BLUE LIGHT,13401d,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,Warning
FAILING TO STOP UNTIL SAFE TO ENTER CONTINUE THROUGHINTERSECTION WNONFUNCT TRAF SIGNAL,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUN,SANTA FE,GRAY,212093,No,WHITE,M,COLUMBIA,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1995.0,TOYOTA,COROLLA,TAN,13409b,No,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2004.0,HOND,4S,MAROON,16116a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,EXPLORER,GRAY,21204b,No,WHITE,F,GREENBELT,MD,MD,A - Marked Patrol,Warning
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,4DR,BLACK,22203b,No,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEV,TK,WHITE,21801a,No,BLACK,F,GLENWOOD,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2005.0,LEXUS,ES381,BLACK,21201a1,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2007.0,PONTIAC,VIBE,BLUE,13401h,No,WHITE,F,BOYDS,MD,MD,A - Marked Patrol,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,VA,02 - Automobile,2006.0,INFINITI,4 DOOR,WHITE,13411f,No,BLACK,F,RICHMOND,VA,VA,S - License Plate Recognition,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,MD,02 - Automobile,2003.0,SUBARU,BAJA,YELLOW,218011,No,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2007.0,HOND,4S,RED,218011,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,Warning
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,4DR,BLUE,224123b,No,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,Warning
OPERATING MOTOR VEHICLE WITH MISSING WHEEL FASTENERS,No,No,No,No,Yes,MD,05 - Light Duty Truck,2000.0,FORD,F250,WHITE,11393205c,No,HISPANIC,M,GREENBELT,MD,MD,A - Marked Patrol,Warning
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYT,COROLLA,SILVER,21706a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CIVIC,BLACK,21801a,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,RAV4,GREEN DK,13410e2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2004.0,NISSAN,ALTIMA,BRONZE,218011,Yes,BLACK,F,POOLESVILLE,MD,MD,G - Marked Moving Radar (Stationary),Warning
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEV,TK,SILVER,16303h,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2003.0,HONDA,CIVIC,BLACK,218011,No,NATIVE AMERICAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,02 - Automobile,1994.0,DODG,VN,RED,218011,No,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1999.0,CHEVY,MALIBU,SILVER,13401h,No,BLACK,M,LANDOVER,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEVY,VAN,WHITE,21201a1,No,BLACK,F,RIVERDALE,MD,MD,A - Marked Patrol,Warning
DRIVING VEH ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR,No,No,No,No,No,MD,02 - Automobile,2012.0,NISSAN,2S,BLACK,22227d,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2008.0,ACURA,MDX,WHITE,21309d,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,05 - Light Duty Truck,2011.0,ACUR,SU,SILVER,218011,No,WHITE,F,POTOMAC,MD,NY,A - Marked Patrol,Warning
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,No,No,No,No,No,XX,29 - Unknown,,,,,21503c,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1996.0,TOYOTA,4 DOOR,BLUE,13409b,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2007.0,DODGE,TRUCK,BLUE LIGHT,13401h,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2001.0,CHRY,4S,SILVER,21707a,No,WHITE,M,ROCKVILLE,MD,MD,B - Unmarked Patrol,Warning
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,2S,BLACK,21801a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2001.0,MERZ,ML320,BLACK,13409b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2000.0,DODGE,TK,BLACK,16112c,No,BLACK,F,BETHESDA,MD,MD,A - Marked Patrol,Warning
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2014.0,BMW,X5,BLACK,21707a,No,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,No,No,No,No,No,MD,02 - Automobile,2011.0,KIA,SORRENTO,BLACK,171042b2,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2009.0,CADILLAC,CTS,WHITE,218011,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,No,No,No,No,No,DC,02 - Automobile,2005.0,DODGE,DURANGO,SILVER,22206a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Warning
PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,No,No,No,No,No,MD,05 - Light Duty Truck,2013.0,FORD,F150,WHITE,224123c2,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2008.0,NISS,4H,SILVER,21204c,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYT,CAMRY,GREEN,21801a,No,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,Warning
FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2016.0,ACURA,RDX,BLACK,13411a,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,NY,02 - Automobile,2013.0,SUBARU,IMPREZA,BLACK,16116a,No,WHITE,M,SILVE SPRING,MD,NY,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,AVALON,GREEN,13401h,No,BLACK,F,DAMASCUS,MD,MD,A - Marked Patrol,Warning
DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,No,No,No,No,No,MD,02 - Automobile,2003.0,NISSAN,ALTIMA,BLACK,21201a2,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,CMAX SEL HYBRID,BLACK,16116a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2004.0,LEXUS,TK,BLACK,2111242d2,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2008.0,NISS,ALTIMA,GRAY,21204d,No,WHITE,F,MOUNT AIRY,MD,MD,A - Marked Patrol,Warning
FOLLOWING VEH TOO CLOSELY,No,No,No,No,No,MD,02 - Automobile,2006.0,BMW,4S,BLACK,21310a,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Warning
MOTOR CARRIER FAIL TO CORRECT DEFECTS NOTED ON INSPECTION REPORT,No,No,No,Yes,Yes,WV,06 - Heavy Duty Truck,1971.0,CHEVROLET,C60,RED,113969d2,No,OTHER,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,VA,02 - Automobile,2010.0,VW,TOUREG,SILVER,21201a1,No,WHITE,F,GREAT FALLS,VA,VA,S - License Plate Recognition,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2016.0,DODGE,DURANGO,BLACK,13409b,No,BLACK,M,SILVER SPRING,MD,VA,A - Marked Patrol,Warning
DRIVING VEH WHILE WEARING EARPHONES,No,No,No,No,No,MD,02 - Automobile,2008.0,MERC,GRAND MARQUIS,WHITE,211120c,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Yes,No,No,No,No,MD,02 - Automobile,2011.0,LEXUS,LX570,WHITE,13401h,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,SUV,WHITE,13409b,No,HISPANIC,M,GERMANTOWN,MD,MD,O - Foot Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,COROLLA,BLUE,218011,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUNDIA,ELANTRA,GREEN LGT,21201a1,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,No,No,No,No,No,MD,02 - Automobile,2005.0,DODG,DAKOTA,GRAY,21402a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1997.0,HONDA,FIT,GRAY,13401h,No,BLACK,F,WESTMINSTER,MD,MD,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,Yes,No,MD,05 - Light Duty Truck,2014.0,CHEVY,TK,SILVER,218011,No,WHITE,M,POOLESVILLE,MD,MD,G - Marked Moving Radar (Stationary),Warning
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,Yes,No,MD,02 - Automobile,2000.0,MERZ,CL500 2S,BLACK,2111242d2,No,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,SIENNA,GOLD,21201a1,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,FOCUS,SILVER,21707a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,1996.0,FORD,EXPLORER,GREEN DK,21707a,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2009.0,CADI,4S,BLACK,21707a,No,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,PRIUS,WHITE,21201a1,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,VA,02 - Automobile,2012.0,LEX,A25,WHITE,22203b,No,OTHER,M,SPRINGFIELD,VA,VA,A - Marked Patrol,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2016.0,SUBARU,STA WAG,BLUE,218011,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2012.0,HONDA,4S,BLACK,16116a,No,BLACK,F,BLADENSBURG,MD,MD,Q - Marked Laser,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2008.0,FORD,EXPLORER,WHITE,13411f,No,WHITE,F,PHOENIX,MD,MD,A - Marked Patrol,Warning
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,No,No,No,No,No,MD,05 - Light Duty Truck,2001.0,FORD,F150,WHITE,21402a,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,RAV4,SILVER,222011,No,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,EXPLORER,TAN,21201a1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,PRIUS HY,WHITE,13409b,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
